latitude,longitude,report_type,risk_level,timestamp
-26.212545988115263,28.05585293712158,dangerous_area,3,2025-08-01
-26.154928569359008,28.04288770930753,lighting_issue,5,2025-10-16
-26.17680060581886,28.024762209302907,lighting_issue,2,2025-12-27
-26.190134151580295,28.065103601576556,unsafe_condition,4,2026-04-30
-26.234398135955757,28.05477849380431,suspicious_activity,0,2026-03-26
-26.23440054796638,28.01300935514759,lighting_issue,4,2026-01-08
-26.24419163878318,28.072874174759505,lighting_issue,5,2026-04-30
-26.163382385422505,28.06580297943385,safe_area,5,2026-01-07
-26.189888498825677,28.075983993063353,safe_area,0,2025-06-10
-26.179192742220394,28.058057560671067,dangerous_area,1,2025-10-06
-26.24794155057042,28.049073215674863,unsafe_condition,0,2025-06-24
-26.153009014783798,28.033459442903247,dangerous_area,3,2025-10-16
-26.166755735919956,28.074618278668318,safe_area,2,2025-09-29
-26.228766088932172,28.06928511116003,suspicious_activity,1,2025-10-03
-26.231817503279288,28.003617493608495,safe_area,0,2025-07-31
-26.231659549014655,28.00210935795978,unsafe_condition,4,2025-08-06
-26.219575775704048,28.030117069350243,safe_area,1,2026-02-11
-26.197524356836777,28.064844266462543,unsafe_condition,1,2025-10-15
-26.206805498135786,28.078982090345193,unsafe_condition,0,2026-03-16
-26.220877085980195,28.01203335128828,unsafe_condition,1,2026-04-13
-26.18881471052776,28.04753045722817,unsafe_condition,4,2026-04-07
-26.236050613934797,28.03047126853048,unsafe_condition,5,2026-03-27
-26.22078553514648,28.077593151825166,suspicious_activity,1,2025-07-21
-26.21336381567063,28.067369513850856,dangerous_area,5,2026-02-11
-26.204393001578296,28.06706629637689,lighting_issue,4,2026-02-28
-26.171482403860697,28.037495452783595,dangerous_area,0,2026-02-02
-26.230032621784165,28.03318556018701,unsafe_condition,2,2025-10-16
-26.19857655615864,28.021872565754457,suspicious_activity,1,2026-02-14
-26.190758543113795,28.004510039732075,safe_area,2,2026-04-16
-26.245354958728,28.069177790100404,suspicious_activity,4,2025-08-13
-26.189245514809855,28.065032080730404,unsafe_condition,1,2025-07-10
-26.23294758763127,28.07997741386289,suspicious_activity,5,2026-04-11
-26.243494840701473,28.07973094696591,suspicious_activity,3,2025-10-15
-26.155111446274667,28.044434536448207,unsafe_condition,2,2025-11-08
-26.153436796692542,28.061518993214438,suspicious_activity,1,2025-08-29
-26.169160265188353,28.075581258390592,lighting_issue,2,2026-05-23
-26.219538623082663,28.06797179125419,lighting_issue,1,2025-06-03
-26.24023278859936,28.019787848139455,suspicious_activity,0,2026-01-13
-26.181576697348785,28.036043530824806,safe_area,5,2025-10-04
-26.20598475062604,28.01033275321212,unsafe_condition,2,2026-05-24
-26.237796176515523,28.076324082180697,lighting_issue,3,2025-06-23
-26.20048230898887,28.04849397075607,safe_area,3,2026-02-18
-26.246561147888478,28.018291424440278,suspicious_activity,4,2026-01-20
-26.15906795979212,28.053736054752466,safe_area,1,2026-05-15
-26.224122001839998,28.049450259236632,dangerous_area,2,2026-04-27
-26.1837477715646,28.028653017442625,lighting_issue,4,2025-09-06
-26.21882889239106,28.00908460737597,suspicious_activity,2,2025-10-14
-26.19799319788222,28.05372585564742,unsafe_condition,1,2026-03-22
-26.19532897206567,28.0416246160723,suspicious_activity,3,2025-07-13
-26.231514554447447,28.06178547133885,unsafe_condition,0,2025-07-10
-26.153041537223544,28.041613080088958,suspicious_activity,3,2026-05-30
-26.172486717663887,28.068174520025483,safe_area,4,2025-09-18
-26.15605010584358,28.04415254710196,safe_area,5,2026-03-06
-26.160517264957235,28.04487503772283,safe_area,0,2025-07-24
-26.190210002118892,28.070132288212665,dangerous_area,4,2025-12-15
-26.157812576497687,28.03227862929699,unsafe_condition,1,2026-05-07
-26.24115074979481,28.01072121827605,safe_area,0,2026-03-08
-26.230401713758084,28.002302614105066,dangerous_area,4,2026-01-07
-26.245477271108946,28.060410980453888,unsafe_condition,1,2025-11-19
-26.217466966923674,28.049624764108277,suspicious_activity,3,2025-08-28
-26.21113227103105,28.05632638144794,dangerous_area,5,2025-09-25
-26.22286509682261,28.017037132920713,lighting_issue,1,2026-05-08
-26.167126249084806,28.010909718046943,dangerous_area,2,2026-05-11
-26.21432466733064,28.001163573253432,dangerous_area,1,2025-12-19
-26.22190654903126,28.028047004704526,unsafe_condition,1,2025-07-09
-26.195730391684176,28.04719341494837,suspicious_activity,5,2025-12-08
-26.235907577502523,28.031379523607978,lighting_issue,2,2025-06-08
-26.169780301924593,28.0349979937619,safe_area,4,2025-12-10
-26.242544935632022,28.0723326955595,safe_area,4,2025-10-02
-26.151311306339945,28.027860437361863,dangerous_area,1,2026-01-22
-26.17277552307033,28.041119159132784,unsafe_condition,2,2026-04-19
-26.230128431846584,28.062692241019292,unsafe_condition,2,2025-12-22
-26.24944778828764,28.0317234225857,safe_area,5,2026-01-05
-26.168453857154514,28.04976693601823,lighting_issue,3,2025-06-20
-26.179314265615236,28.068989096699738,suspicious_activity,4,2025-10-26
-26.1770992831959,28.07596164989261,lighting_issue,5,2026-05-15
-26.172872965331404,28.01176587847432,suspicious_activity,0,2025-06-04
-26.24259553482659,28.07412701001292,safe_area,4,2025-08-02
-26.214153427145572,28.039369303446364,suspicious_activity,5,2025-11-12
-26.238413094047488,28.020659551063915,unsafe_condition,4,2025-08-24
-26.16368965741244,28.03673086049906,dangerous_area,3,2026-01-30
-26.187670187317245,28.078402606022838,dangerous_area,0,2025-08-14
-26.216910197514736,28.03940944751943,safe_area,3,2026-02-15
-26.243644164971396,28.026300128823,unsafe_condition,0,2025-11-15
-26.218901767828434,28.050672068345335,lighting_issue,1,2026-04-02
-26.217481667797326,28.019211649502257,unsafe_condition,5,2026-05-06
-26.177039382166193,28.006069066248692,dangerous_area,0,2026-03-22
-26.186244252864476,28.01031037775285,dangerous_area,3,2026-05-02
-26.161278725742367,28.010243667116622,unsafe_condition,4,2025-09-01
-26.202778507483803,28.012152215480985,unsafe_condition,0,2025-07-03
-26.23804057540617,28.011106173811953,dangerous_area,5,2025-07-08
-26.1786755212777,28.051269979584255,lighting_issue,0,2025-11-30
-26.17392149513831,28.01455040675193,safe_area,2,2025-08-05
-26.19387228024305,28.027653382665907,safe_area,4,2025-10-09
-26.172903282004544,28.07174307279248,unsafe_condition,5,2025-10-19
-26.20062044036356,28.03791693122103,safe_area,5,2025-09-17
-26.1977267170618,28.053404619081682,dangerous_area,1,2026-04-19
-26.207245898164146,28.01378558969613,dangerous_area,3,2025-10-29
-26.24745808732559,28.015383121504694,unsafe_condition,1,2026-01-29
-26.23921085730067,28.003269489301317,unsafe_condition,5,2026-04-24
-26.246857081431326,28.013514805045773,unsafe_condition,4,2025-07-27
-26.186358958873623,28.022287227122558,lighting_issue,0,2025-09-19
-26.218564401892365,28.01416083874214,safe_area,0,2026-05-26
-26.19914293088353,28.007096202700563,unsafe_condition,4,2025-12-02
-26.15924335260739,28.00965086968805,suspicious_activity,5,2026-05-02
-26.22507077708511,28.036862301442618,suspicious_activity,0,2026-05-10
-26.208961707696435,28.01650669747246,dangerous_area,0,2026-01-29
-26.174444886145693,28.029141588883846,safe_area,0,2026-01-02
-26.227120183450836,28.04027338166839,unsafe_condition,3,2025-12-08
-26.24230200901712,28.055231586290347,suspicious_activity,3,2026-03-13
-26.221024854708624,28.00314497118729,safe_area,2,2026-04-25
-26.2338778712746,28.063952831912722,dangerous_area,1,2026-02-04
-26.15703023476574,28.050232031159272,lighting_issue,4,2025-08-24
-26.16918796204356,28.00654072255591,safe_area,4,2025-06-30
-26.186659624348955,28.06988628992854,safe_area,4,2026-03-29
-26.162853940981226,28.073669792042544,lighting_issue,2,2025-12-11
-26.169632792310086,28.00488623678839,safe_area,3,2025-12-16
-26.231342994111397,28.022150211851777,dangerous_area,5,2025-10-26
-26.160744100151,28.064496102383444,dangerous_area,5,2025-10-01
-26.196065775808435,28.059860775230693,lighting_issue,2,2025-07-09
-26.16925598448359,28.01476168154851,unsafe_condition,5,2026-04-12
-26.16039087000765,28.016747945866936,suspicious_activity,4,2026-04-23
-26.218199652502815,28.02963776822331,unsafe_condition,1,2025-10-08
-26.238994807547233,28.03876183881528,safe_area,0,2025-12-20
-26.227206483745807,28.049460381722422,suspicious_activity,3,2026-02-17
-26.207289221137373,28.02951309116558,lighting_issue,3,2025-12-14
-26.16819852340775,28.037002777290652,lighting_issue,2,2025-06-02
-26.163926941674365,28.0597976750507,suspicious_activity,3,2026-03-24
-26.24930478694688,28.002934656231247,dangerous_area,4,2025-11-20
-26.198925269742244,28.02019495554752,suspicious_activity,5,2026-05-28
-26.20825889968512,28.05706796687076,safe_area,4,2026-03-12
-26.22778921895293,28.071616547014976,dangerous_area,2,2025-11-14
-26.238013463266633,28.040934195369253,lighting_issue,4,2025-10-13
