latitude,longitude,street_lighting_score,crowd_density,weather,day_of_week,hour_of_day,timestamp
-26.212545988115263,28.029891265477335,0.24591384075723086,0.017904690323261575,clear,2,11,2025-06-23 14:00:00
-26.154928569359008,28.02663296769851,0.7684535443345503,0.6725946943068234,clear,1,5,2025-07-17 02:00:00
-26.17680060581886,28.01409231300023,0.19684585759768916,0.40529357407097916,clear,5,2,2025-07-23 14:00:00
-26.190134151580295,28.04858133360812,0.5938206539081253,0.22811621293046666,fog,3,14,2025-11-23 10:00:00
-26.234398135955757,28.03812993284069,0.14311172408017653,0.14158396633872572,clear,5,13,2025-08-20 22:00:00
-26.23440054796638,28.06925607938592,0.8714365937797981,0.3234309407112642,clear,6,14,2025-07-11 05:00:00
-26.24419163878318,28.002568766438564,0.4821075078570836,0.47397046416311167,rain,6,20,2025-10-18 18:00:00
-26.163382385422505,28.05150943420441,0.16561473476910737,0.5396016275726794,clear,2,11,2025-10-03 01:00:00
-26.189888498825677,28.061035910280925,0.14604870801967496,0.38529592279593305,clear,0,8,2025-09-25 03:00:00
-26.179192742220394,28.060758925535062,0.753098152540926,0.22387991839553037,clear,4,3,2025-09-21 12:00:00
-26.24794155057042,28.07088591736764,0.40723436196813034,0.37162523821154403,storm,0,14,2026-02-12 05:00:00
-26.153009014783798,28.05832269942636,0.19317909361791447,0.35004510433019187,rain,4,0,2025-09-22 04:00:00
-26.166755735919956,28.074224804931813,0.1738627874553391,0.4108716613603988,rain,4,14,2025-08-08 09:00:00
-26.228766088932172,28.02661252798567,0.17207836225678125,0.37060126236521446,clear,5,17,2026-03-05 23:00:00
-26.231817503279288,28.040256753340124,0.3627956426661984,0.3331817314483868,clear,3,2,2025-07-13 01:00:00
-26.231659549014655,28.001126373062633,0.0597891369474016,0.2426332988163231,clear,6,1,2025-11-02 11:00:00
-26.219575775704048,28.00055660698426,0.4983316466808501,0.7760247084338926,clear,2,15,2025-07-11 01:00:00
-26.197524356836777,28.01921012963612,0.24181012189062573,0.5255534182824843,clear,4,5,2026-04-18 08:00:00
-26.206805498135786,28.008064575771126,0.7638810755051618,0.478593983429348,clear,4,2,2025-07-19 20:00:00
-26.220877085980195,28.02081690943486,0.4555729617931091,0.3717511970192834,clear,4,23,2026-05-09 16:00:00
-26.18881471052776,28.014163463562273,0.17552439248836615,0.25016055196323933,clear,6,5,2026-02-03 19:00:00
-26.236050613934797,28.002281601987093,0.9312366130655358,0.24991448240909064,clear,1,1,2025-12-24 10:00:00
-26.22078553514648,28.07274433171248,0.4717830791032327,0.7345276320024295,clear,2,2,2025-10-13 01:00:00
-26.21336381567063,28.00065785051111,0.1467195948996128,0.33018666079714304,clear,4,22,2026-03-04 10:00:00
-26.204393001578296,28.058886571546967,0.7694009883389352,0.3014430590313705,clear,2,4,2025-08-19 05:00:00
-26.171482403860697,28.012171830953562,0.8609397738338183,0.5043998826984483,clear,5,21,2025-11-12 14:00:00
-26.230032621784165,28.072978369759966,0.5218630745131289,0.4864219899641638,clear,1,21,2025-07-29 08:00:00
-26.19857655615864,28.07142367516719,0.19319166112516253,0.10248726561185006,rain,0,5,2026-04-26 18:00:00
-26.190758543113795,28.05231209170954,0.8584783341586394,0.4489278823358081,clear,0,21,2025-07-08 22:00:00
-26.245354958728,28.053778731984046,0.258432307795421,0.6115010507703255,clear,4,15,2026-05-18 16:00:00
-26.189245514809855,28.000427131357576,0.4618165602943788,0.15787962850609152,clear,1,1,2026-04-23 20:00:00
-26.23294758763127,28.078789725289088,0.32197841284358464,0.416123405518685,clear,0,5,2025-11-27 10:00:00
-26.243494840701473,28.070226608286063,0.4209183372869289,0.24238453014125494,fog,3,5,2026-05-13 15:00:00
-26.155111446274667,28.071608498058406,0.6723382973962649,0.23896509113484915,clear,3,3,2025-12-24 01:00:00
-26.153436796692542,28.052739562964067,0.8418952499790403,0.045669873769215004,clear,5,5,2025-12-20 07:00:00
-26.169160265188353,28.027582954292363,0.8885395593033978,0.10764899307616109,clear,3,1,2025-06-02 11:00:00
-26.219538623082663,28.071491891927238,0.5735933279430517,0.2549045657880944,clear,5,8,2025-07-04 08:00:00
-26.24023278859936,28.023321354252094,0.3495854197019755,0.6244123493719408,clear,5,19,2025-08-18 18:00:00
-26.181576697348785,28.045016923467376,0.7151658492543983,0.6025998126828835,clear,5,3,2025-12-04 16:00:00
-26.20598475062604,28.00797847778751,0.35027608200371496,0.5851971588626492,storm,4,5,2025-10-22 10:00:00
-26.237796176515523,28.073756450410617,0.4038898338861436,0.4014146625276737,clear,6,7,2025-11-29 08:00:00
-26.20048230898887,28.011261636621697,0.17187536877408705,0.6398117984784669,clear,6,15,2026-04-24 06:00:00
-26.246561147888478,28.01799174445843,0.6366723454659549,0.2989125074397263,rain,4,1,2025-08-15 22:00:00
-26.15906795979212,28.044650732650258,0.7701406126710324,0.6291064894633245,clear,0,9,2025-09-23 16:00:00
-26.224122001839998,28.06112744001704,0.5973144485009952,0.40449091856922076,storm,5,17,2025-07-25 18:00:00
-26.1837477715646,28.0495481044749,0.3054838813975382,0.32268491876390826,rain,4,0,2025-08-22 03:00:00
-26.21882889239106,28.018570713024012,0.18612425903978239,0.14111142252666548,clear,5,3,2026-03-09 02:00:00
-26.19799319788222,28.0000754434022,0.6251227608798188,0.5146250909603507,rain,0,6,2026-01-16 16:00:00
-26.19532897206567,28.060572046424593,0.3316296317457744,0.42665980760709205,rain,5,3,2025-09-19 07:00:00
-26.231514554447447,28.078816586072886,0.6235117992872942,0.32495015504077485,clear,4,3,2025-09-11 09:00:00
-26.153041537223544,28.064793049624488,0.727398079264489,0.2201103304117133,clear,5,14,2025-12-17 06:00:00
-26.172486717663887,28.03681652945253,0.4105807858934785,0.4245911885651024,clear,1,9,2025-07-10 09:00:00
-26.15605010584358,28.072301380911927,0.7053749565921655,0.4843183476484382,clear,2,5,2025-11-27 09:00:00
-26.160517264957235,28.032787813849467,0.8756223119212998,0.2997670200896042,rain,3,4,2026-03-19 07:00:00
-26.190210002118892,28.04199472673948,0.6873365695254333,0.6218450941399628,clear,3,11,2025-12-25 04:00:00
-26.157812576497687,28.038170381391655,0.7769668009732723,0.2194337438811664,clear,1,10,2025-07-19 05:00:00
-26.24115074979481,28.035809909813242,0.6156088064244575,0.3108111480038848,clear,4,18,2025-06-28 13:00:00
-26.230401713758084,28.06201526154351,0.6281460740725596,0.32610103220875625,fog,0,14,2025-07-21 03:00:00
-26.245477271108946,28.04214151258156,0.07494046110865406,0.5391071974257482,rain,2,13,2026-03-15 17:00:00
-26.217466966923674,28.025337369762017,0.7509765282843557,0.40690294115489745,clear,0,22,2025-12-18 09:00:00
-26.21113227103105,28.02065265341268,0.23043047682895268,0.1467878271624854,clear,5,2,2026-03-02 13:00:00
-26.22286509682261,28.003019785357395,0.5867599437210869,0.36081777980494834,clear,2,9,2025-07-12 11:00:00
-26.167126249084806,28.046655612950644,0.6530036016715765,0.2901643835319193,rain,5,23,2025-12-15 17:00:00
-26.21432466733064,28.01839691323208,0.7372000827259143,0.1966482578319523,clear,0,22,2025-10-20 12:00:00
